Hora	NO2	PM2.5	PM10	Calidad_del_aire
0	56	8.125	16.042	Razonablemente_buena
1	45	8.5	16.625	Razonablemente_buena
2	39	8.917	17.25	Buena
3	35	9.042	17.458	Buena
4	32	9.125	17.583	Buena
5	29	9.25	17.75	Buena
6	30	9.375	17.917	Buena
7	32	9.417	18.042	Buena
8	29	9.542	18.333	Buena
9	37	9.583	18.375	Buena
10	49	9.667	18.583	Razonablemente_buena
11	59	9.958	19.125	Razonablemente_buena
12	50	10.333	19.833	Razonablemente_buena
13	47	10.792	20.708	Razonablemente_buena
14	58	11.25	21.458	Razonablemente_buena
15	57	11.667	22.083	Razonablemente_buena
16	30	12.083	22.458	Razonablemente_buena
17	32	12.458	22.75	Razonablemente_buena
18	31	12.708	23.167	Razonablemente_buena
19	33	12.792	23.333	Razonablemente_buena
20	36	12.958	23.5	Razonablemente_buena
21	39	13208	23.625	Razonablemente_buena
22	29	12.958	22.917	Razonablemente_buena
23	31	12.625	22.042	Razonablemente_buena
